Date,Open,High,Low,Close,Volume,EF_1,EF_2,Oil FutureTrend,Gold FutureTrend,Trend,Twitter Sentiments,FutureTrend
14/11/2018,32.88999939,33.84999847,32.75,32.90999985,19448700,0.145454609,0.060810149,Negative,Negative,Positive,0,Negative
15/11/2018,32.79000092,33.36000061,32.61999893,33.15000153,16824800,0.716218097,1.097897531,Neutral,Negative,Positive,30,Negative
16/11/2018,32.83000183,33.91999817,32.59999847,33.66999817,17904100,0.810606017,2.558624097,Negative,Negative,Positive,0,Positive
19/11/2018,33.56000137,33.59999847,31.84000015,31.97999954,15745000,0.079545184,-4.707990961,Positive,Positive,Negative,22,Positive
20/11/2018,29.96999931,31.73999977,29.94000053,31.05999947,20927600,0.622221893,3.636970896,Negative,Negative,Positive,24,Negative
21/11/2018,31.67000008,32.08000183,31.10000038,31.61000061,16466900,0.520407627,-0.189452055,Positive,Positive,Negative,0,Positive
23/11/2018,31.29999924,31.95999908,31.11000061,31.12000084,5813900,0.011764996,-0.575074767,Neutral,Neutral,Negative,48,Negative
26/11/2018,31.60000038,32.86999893,31.52000046,32.81999969,17096000,0.962963486,3.860757274,Positive,Positive,Positive,0,Positive
27/11/2018,32.43999863,33.09999847,32.36000061,32.61000061,10727400,0.337838813,0.524050527,Positive,Negative,Positive,13,Negative
28/11/2018,33,33,31.71999931,32.72999954,19073300,0.789062256,-0.818183205,Negative,Negative,Negative,0,Positive
29/11/2018,32.45999908,32.54000092,29.87000084,31.29999924,50505700,0.535579909,-3.573628713,Positive,Positive,Negative,0,Negative
30/11/2018,31.14999962,31.54999924,30.11000061,31.45000076,25833200,0.930556549,0.963085548,Negative,Negative,Positive,0,Negative
03/12/2018,32.24000168,33.84999847,32.20999908,33.65999985,24027100,0.884147136,4.404460592,Negative,Negative,Positive,30,Positive
04/12/2018,33.27999878,34.15999985,32.5,32.56000137,22472000,0.036145409,-2.163453823,Positive,Positive,Negative,0,Negative
06/12/2018,32.45999908,32.97000122,31.11000061,32.95999908,25922800,0.994622509,1.540357406,Negative,Negative,Positive,56,Positive
07/12/2018,32.84000015,34.36999893,32.66999817,32.83000183,29497100,0.094119759,-0.030445559,Positive,Positive,Negative,0,Negative
10/12/2018,32.72999954,33.63999939,32.25999832,33.43000031,19971100,0.847826868,2.138713024,Negative,Positive,Positive,0,Negative
11/12/2018,34.13000107,35.75,33.88000107,34.45000076,30118600,0.304812845,0.937590638,Positive,Negative,Positive,30,Negative
12/12/2018,34.97000122,37.13999939,34.84999847,36.25,32608500,0.611354134,3.660276622,Negative,Positive,Positive,0,Positive
13/12/2018,36.40000153,36.49000168,35.29999924,35.88999939,22831600,0.49579743,-1.401104711,Positive,Positive,Negative,24,Positive
14/12/2018,35.25,36.61999893,35.04999924,35.86999893,19528500,0.522292901,1.758862218,Positive,Negative,Positive,64,Positive
17/12/2018,35.68000031,35.70000076,33.20000076,33.43000031,23880900,0.091999817,-6.306053758,Positive,Negative,Negative,179,Negative
18/12/2018,33.63000107,34.16999817,33.08000183,33.74000168,18885100,0.605506482,0.327090713,Negative,Negative,Positive,22,Positive
19/12/2018,33.70999908,34.70000076,32.65999985,32.93000031,24784300,0.132353106,-2.313849898,Positive,Negative,Negative,0,Positive
20/12/2018,32.59000015,32.72000122,28.51000023,29.29000092,51983000,0.185273279,-10.12580307,Positive,Positive,Negative,0,Positive
21/12/2018,29.30999947,29.76000023,27.04000092,27.30999947,38714100,0.099264198,-6.823609814,Negative,Negative,Negative,0,Positive
24/12/2018,26.54999924,27.27000046,26.26000023,26.45000076,18208300,0.188119298,-0.376642098,Neutral,Neutral,Negative,0,Negative
26/12/2018,27,28.70000076,26.79999924,28.65999985,35529600,0.978946903,6.148147583,Positive,Negative,Positive,23,Negative
27/12/2018,28.13999939,28.92000008,27.26000023,28.68000031,31987700,0.855421811,1.918979841,Negative,Negative,Positive,25,Positive
28/12/2018,28.93000031,29.13999939,27.84000015,28.43000031,21820500,0.453846538,-1.728309695,Negative,Positive,Negative,0,Negative
31/12/2018,28.60000038,29.12999916,28.34000015,28.73999977,15975000,0.506329267,0.489508349,Negative,Negative,Positive,70,Negative
02/01/2019,28.26000023,28.98999977,27.87000084,28.80999947,15053700,0.839285289,1.946211014,Negative,Negative,Positive,0,Positive
03/01/2019,28.37999916,29.18000031,27.94000053,27.98999977,19051700,0.040321973,-1.374205078,Negative,Positive,Negative,0,Negative
04/01/2019,28.38999939,30.10000038,28.30999947,29.95000076,23412600,0.916201373,5.494897523,Negative,Negative,Positive,34,Negative
07/01/2019,30.20000076,31.37999916,29.77000046,31.34000015,19917800,0.975155876,3.774832321,Negative,Positive,Positive,173,Negative
08/01/2019,31.70000076,32.04999924,30.90999985,31.79999924,18915200,0.780701637,0.315452592,Negative,Negative,Positive,56,Negative
09/01/2019,31.79999924,32.40000153,31.54000092,32.25,14554400,0.825579745,1.415096773,Negative,Positive,Positive,0,Negative
10/01/2019,33.08000183,33.5,32.25999832,33.09000015,30504500,0.669355409,0.03022467,Positive,Negative,Positive,31,Positive
11/01/2019,32.84999847,33.20000076,32.43000031,32.86999893,17732300,0.571426448,0.060884197,Positive,Negative,Positive,0,Positive
14/01/2019,32.38000107,32.75,32.11999893,32.36999893,9523000,0.396824724,-0.030889858,Negative,Positive,Negative,88,Negative
15/01/2019,32.50999832,33.34999847,32.45000076,33.02000046,13548200,0.633334605,1.56875473,Negative,Negative,Positive,0,Positive
16/01/2019,33.09999847,33.29999924,32.43999863,32.47000122,10130200,0.034886712,-1.903315053,Positive,Positive,Negative,0,Negative
17/01/2019,32.47000122,33.09000015,32.38999939,32.84999847,12059700,0.657140833,1.170302554,Negative,Positive,Positive,0,Negative
18/01/2019,33.04999924,33.88999939,32.77000046,33.27000046,16776800,0.446428997,0.665661803,Positive,Negative,Positive,0,Positive
22/01/2019,32.97000122,33.34999847,31.93000031,32.25,17780800,0.225352188,-2.183807079,Negative,Negative,Negative,0,Positive
23/01/2019,32.25999832,32.45000076,30.71999931,30.96999931,21084400,0.144508549,-3.998757208,Negative,Positive,Negative,0,Negative
24/01/2019,30.94000053,31.72999954,30.90999985,31.61000061,12470400,0.853659785,2.165481786,Negative,Negative,Positive,0,Negative
25/01/2019,31.98999977,33.61999893,31.97999954,32.90000153,22513700,0.560977028,2.844644455,Positive,Negative,Positive,0,Negative
28/01/2019,32.65000153,33.20000076,32.11999893,33.13000107,21750800,0.935185578,1.470136355,Negative,Negative,Positive,0,Positive
29/01/2019,33.33000183,33.54999924,31.45999908,31.63999939,18849800,0.086124542,-5.070514097,Negative,Negative,Negative,18,Negative
30/01/2019,32.04000092,32.38000107,31.42000008,32.25999832,17142500,0.874997268,0.686633582,Positive,Negative,Positive,0,Negative
31/01/2019,33.06999969,33.68999863,32.79000092,33.56000137,21211300,0.85555824,1.481710562,Negative,Positive,Positive,0,Positive
01/02/2019,33.56000137,34.09000015,32.95999908,33.18999863,18816600,0.203539226,-1.102511119,Positive,Positive,Negative,57,Negative
04/02/2019,33.34000015,34.18000031,33.24000168,33.93999863,14244100,0.744678692,1.799635487,Positive,Positive,Positive,0,Negative
05/02/2019,34.29000092,34.56999969,33.91999817,34.36999893,17610200,0.692307241,0.233298379,Negative,Positive,Positive,0,Positive
06/02/2019,35.04999924,35.25,33.75,34.15999985,34058000,0.273333232,-2.539227986,Positive,Positive,Negative,103,Positive
07/02/2019,31.17000008,31.72999954,30.30999947,30.79999924,69764100,0.345070243,-1.187041509,Negative,Negative,Negative,30,Positive
08/02/2019,30.46999931,30.73999977,29.42000008,30.01000023,40669800,0.446969916,-1.509678683,Positive,Positive,Negative,27,Negative
11/02/2019,30.17000008,30.44000053,29.65999985,30.22999954,28838200,0.730768196,0.198871282,Negative,Negative,Positive,24,Negative
12/02/2019,30.44000053,30.79999924,30.22999954,30.38999939,20315300,0.280701637,-0.164261313,Negative,Negative,Negative,0,Negative
13/02/2019,30.56999969,31.84000015,30.54999924,31.12000084,29683300,0.441861394,1.799153254,Negative,Positive,Positive,0,Positive
14/02/2019,30.86000061,31.28000069,30.60000038,30.95999908,15321100,0.52940962,0.324039119,Negative,Negative,Positive,27,Negative
15/02/2019,31.20000076,31.79999924,30.96999931,31.22999954,17591500,0.313253317,0.096149931,Negative,Negative,Positive,62,Negative
19/02/2019,31.22999954,32.11000061,31.14999962,31.64999962,14391700,0.520832795,1.344860975,Negative,Negative,Positive,0,Positive
20/02/2019,31.70999908,31.93000031,31.20999908,31.37000084,16871100,0.222224283,-1.072211463,Negative,Positive,Negative,26,Positive
21/02/2019,31.36000061,31.47999954,30.60000038,30.76000023,13944900,0.181818182,-1.913266485,Negative,Negative,Negative,0,Negative
22/02/2019,30.80999947,31.72999954,30.80999947,31.70999908,15413400,0.978260374,2.921128316,Positive,Positive,Positive,201,Negative
25/02/2019,31.98999977,32.70999908,31.87999916,31.98999977,15061300,0.132530868,0,Negative,Positive,Neutral,0,Positive
26/02/2019,31.88999939,31.95999908,30.98999977,31.01000023,17519100,0.020619043,-2.759483153,Negative,Positive,Negative,64,Positive
27/02/2019,30.95000076,31,29.89999962,30.40999985,24639100,0.463636411,-1.744752511,Negative,Positive,Negative,51,Negative
28/02/2019,30.25,30.79000092,30.01000023,30.78000069,15242900,0.987179205,1.752068386,Positive,Positive,Positive,159,Positive
